,Name,Total
0,L. Messi,277.0
1,Cristiano Ronaldo,272.0
2,Neymar Jr,284.0
3,De Gea,207.0
4,K. De Bruyne,248.0
5,E. Hazard,279.0
6,L. Modrić,263.0
7,L. Suárez,260.0
8,Sergio Ramos,239.0
9,J. Oblak,196.0
10,R. Lewandowski,245.0
11,T. Kroos,223.0
12,D. Godín,211.0
13,David Silva,252.0
14,N. Kanté,257.0
15,P. Dybala,264.0
16,H. Kane,230.0
17,A. Griezmann,268.0
18,M. ter Stegen,160.0
19,T. Courtois,191.0
20,Sergio Busquets,203.0
21,E. Cavani,243.0
22,M. Neuer,189.0
23,S. Agüero,264.0
24,G. Chiellini,199.0
25,K. Mbappé,275.0
26,M. Salah,276.0
27,Casemiro,205.0
28,J. Rodríguez,241.0
29,L. Insigne,271.0
30,Isco,239.0
31,C. Eriksen,242.0
32,Coutinho,264.0
33,P. Aubameyang,256.0
34,M. Hummels,203.0
35,Marcelo,257.0
36,G. Bale,261.0
37,H. Lloris,205.0
38,G. Higuaín,234.0
39,Thiago Silva,220.0
40,S. Handanovič,181.0
41,G. Buffon,183.0
42,S. Umtiti,221.0
43,M. Icardi,241.0
44,K. Koulibaly,198.0
45,P. Pogba,226.0
46,K. Navas,198.0
47,R. Lukaku,223.0
48,C. Immobile,242.0
49,Jordi Alba,266.0
50,D. Mertens,275.0
51,J. Vertonghen,206.0
52,M. Hamšík,233.0
53,I. Rakitić,215.0
54,Piqué,191.0
55,L. Sané,262.0
56,Bernardo Silva,256.0
57,Ederson,210.0
58,S. Mané,272.0
59,V. van Dijk,220.0
60,R. Sterling,275.0
61,Roberto Firmino,244.0
62,R. Varane,229.0
63,M. Verratti,241.0
64,Alex Sandro,246.0
65,Douglas Costa,274.0
66,T. Müller,239.0
67,Thiago,252.0
68,M. Reus,259.0
69,Azpilicueta,236.0
70,L. Bonucci,201.0
71,T. Alderweireld,207.0
72,M. Pjanić,227.0
73,M. Benatia,206.0
74,M. Özil,235.0
75,Fernandinho,226.0
76,Iniesta,235.0
77,M. Škriniar,199.0
78,S. Milinković-Savić,214.0
79,Marco Asensio,246.0
80,N. Fekir,249.0
81,Alisson,178.0
82,J. Kimmich,247.0
83,Saúl,232.0
84,R. Mahrez,258.0
85,D. Alaba,242.0
86,Koke,230.0
87,A. Lacazette,251.0
88,K. Manolas,233.0
89,N. Otamendi,200.0
90,Parejo,195.0
91,Paulinho,226.0
92,W. Szczęsny,188.0
93,A. Sánchez,259.0
94,Y. Brahimi,263.0
95,J. Boateng,205.0
96,A. Vidal,218.0
97,I. Perišić,243.0
98,E. Džeko,205.0
99,S. Khedira,196.0
100,Diego Costa,217.0
101,R. Nainggolan,241.0
102,Naldo,191.0
103,B. Matuidi,246.0
104,Miranda,208.0
105,K. Benzema,235.0
106,Filipe Luís,236.0
107,V. Kompany,196.0
108,Pepe,211.0
109,Z. Ibrahimović,215.0
110,D. Sánchez,212.0
111,J. Giménez,201.0
112,Alex Telles,240.0
113,A. Laporte,190.0
114,Bruno Fernandes,240.0
115,N. Süle,164.0
116,A. Martial,254.0
117,D. Alli,234.0
118,Fabinho,221.0
119,Marquinhos,223.0
120,William Carvalho,175.0
121,Jorginho,238.0
122,F. Thauvin,256.0
123,Carvajal,242.0
124,M. Depay,248.0
125,H. Son,254.0
126,A. Lopes,214.0
127,S. de Vrij,208.0
128,M. Perin,206.0
129,J. Cuadrado,260.0
130,Iago Aspas,257.0
131,B. Leno,178.0
132,N. Matić,179.0
133,L. Hrádecký,164.0
134,Illarramendi,221.0
135,K. Walker,236.0
136,I. Gündoğan,230.0
137,José Callejón,255.0
138,A. Di María,257.0
139,M. Mandžukić,220.0
140,Willian,262.0
141,Sergio Asenjo,200.0
142,E. Banega,224.0
143,A. Witsel,229.0
144,D. Payet,229.0
145,Jonas,227.0
146,Sokratis,205.0
147,S. Ruffier,174.0
148,Falcao,230.0
149,K. Schmeichel,202.0
150,Raúl Albiol,189.0
151,A. Gómez,269.0
152,A. Barzagli,193.0
153,Quaresma,253.0
154,A. Robben,255.0
155,O. Dembélé,265.0
156,Gabriel Jesus,265.0
157,Ronaldo Cabrais,257.0
158,Josué Chiamulera,245.0
159,Louri Beretta,218.0
160,P. Kimpembe,228.0
161,N. Keïta,249.0
162,C. Tolisso,233.0
163,T. Lemar,253.0
164,K. Coman,263.0
165,J. Tah,194.0
166,Anderson Talisca,232.0
167,T. Werner,260.0
168,A. Rabiot,235.0
169,L. Goretzka,243.0
170,Q. Promes,259.0
171,H. Ziyech,243.0
172,Lucas Vázquez,248.0
